Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for windows-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 06:31:49 by "" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33485708k(21565300k free), swap 35582860k(14120676k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2021-01-22T21:36:09.114+0800: 19.817: [GC (Allocation Failure) 2021-01-22T21:36:09.114+0800: 19.817: [DefNew: 143799K->4036K(157248K), 0.0030403 secs] 168818K->29055K(506816K), 0.0030802 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:09.655+0800: 20.357: [GC (Allocation Failure) 2021-01-22T21:36:09.655+0800: 20.357: [DefNew: 143812K->95K(157248K), 0.0042187 secs] 168831K->29056K(506816K), 0.0042736 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:10.197+0800: 20.899: [GC (Allocation Failure) 2021-01-22T21:36:10.197+0800: 20.899: [DefNew: 139871K->62K(157248K), 0.0020400 secs] 168832K->29060K(506816K), 0.0020803 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:10.724+0800: 21.426: [GC (Allocation Failure) 2021-01-22T21:36:10.724+0800: 21.427: [DefNew: 139838K->60K(157248K), 0.0017314 secs] 168836K->29059K(506816K), 0.0017934 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:11.244+0800: 21.947: [GC (Allocation Failure) 2021-01-22T21:36:11.244+0800: 21.947: [DefNew: 139836K->44K(157248K), 0.0017604 secs] 168835K->29044K(506816K), 0.0017979 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:11.802+0800: 22.504: [GC (Allocation Failure) 2021-01-22T21:36:11.802+0800: 22.504: [DefNew: 139820K->57K(157248K), 0.0016268 secs] 168820K->29057K(506816K), 0.0016659 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:12.345+0800: 23.047: [GC (Allocation Failure) 2021-01-22T21:36:12.345+0800: 23.047: [DefNew: 139833K->43K(157248K), 0.0013270 secs] 168833K->29042K(506816K), 0.0013635 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:12.890+0800: 23.593: [GC (Allocation Failure) 2021-01-22T21:36:12.890+0800: 23.593: [DefNew: 139819K->55K(157248K), 0.0020929 secs] 168818K->29055K(506816K), 0.0021452 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:13.426+0800: 24.128: [GC (Allocation Failure) 2021-01-22T21:36:13.426+0800: 24.128: [DefNew: 139831K->45K(157248K), 0.0016199 secs] 168831K->29045K(506816K), 0.0016611 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:13.967+0800: 24.670: [GC (Allocation Failure) 2021-01-22T21:36:13.967+0800: 24.670: [DefNew: 139821K->40K(157248K), 0.0017156 secs] 168821K->29045K(506816K), 0.0017581 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:14.510+0800: 25.212: [GC (Allocation Failure) 2021-01-22T21:36:14.510+0800: 25.212: [DefNew: 139816K->57K(157248K), 0.0014383 secs] 168821K->29061K(506816K), 0.0014867 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:15.048+0800: 25.751: [GC (Allocation Failure) 2021-01-22T21:36:15.048+0800: 25.751: [DefNew: 139833K->37K(157248K), 0.0015408 secs] 168837K->29041K(506816K), 0.0015792 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:15.593+0800: 26.295: [GC (Allocation Failure) 2021-01-22T21:36:15.593+0800: 26.295: [DefNew: 139813K->39K(157248K), 0.0017448 secs] 168817K->29044K(506816K), 0.0018141 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:16.144+0800: 26.846: [GC (Allocation Failure) 2021-01-22T21:36:16.144+0800: 26.846: [DefNew: 139815K->52K(157248K), 0.0014223 secs] 168820K->29057K(506816K), 0.0014705 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:16.680+0800: 27.382: [GC (Allocation Failure) 2021-01-22T21:36:16.680+0800: 27.382: [DefNew: 139828K->38K(157248K), 0.0013585 secs] 168833K->29043K(506816K), 0.0014009 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:17.224+0800: 27.927: [GC (Allocation Failure) 2021-01-22T21:36:17.224+0800: 27.927: [DefNew: 139814K->38K(157248K), 0.0017186 secs] 168819K->29043K(506816K), 0.0017833 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:17.796+0800: 28.498: [GC (Allocation Failure) 2021-01-22T21:36:17.796+0800: 28.498: [DefNew: 139814K->35K(157248K), 0.0014948 secs] 168819K->29040K(506816K), 0.0015410 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
